nama,tipe_node,dim_1,dim_2,dim_3,dim_4,dim_5,dim_6,dim_7,dim_8
The Shining,Movie,0.4828408658504486,-0.08653062582015991,0.46997255086898804,-0.7729194760322571,1.3252700567245483,-0.18460030853748322,-0.10570870339870453,0.5804707407951355
The Blue Lagoon,Movie,-0.20678651332855225,0.35016411542892456,-0.6880328059196472,0.02069207839667797,-0.2316325306892395,-0.27735868096351624,0.31683385372161865,0.7119694352149963
Star Wars: Episode V - The Empire Strikes Back,Movie,-0.22010520100593567,-0.2685680091381073,-0.7630867958068848,-0.5933851003646851,-0.8852328658103943,-1.4051412343978882,0.23371648788452148,0.698640763759613
Airplane!,Movie,0.2344542294740677,-0.07923644036054611,-1.433930516242981,-0.3745763897895813,-0.24759408831596375,-0.04878751188516617,0.7370529174804688,0.5004326105117798
Caddyshack,Movie,-0.26517829298973083,0.10193147510290146,1.321537971496582,0.4249076247215271,-0.41026240587234497,-0.4532126188278198,-1.2173560857772827,-0.105455681681633
Friday the 13th,Movie,0.9472299814224243,-0.230292409658432,0.7880982160568237,-0.8080055117607117,0.7339487075805664,-1.0182996988296509,-0.2323792278766632,0.6403484344482422
The Blues Brothers,Movie,-0.49418842792510986,-0.7729659080505371,0.17264245450496674,0.06672301888465881,0.8679088354110718,-0.29302045702934265,-0.8086988925933838,0.6075366735458374
Raging Bull,Movie,-0.40995943546295166,-0.08489696681499481,0.5316909551620483,-0.12563097476959229,-0.904868483543396,1.0101078748703003,-1.1224122047424316,-0.028916090726852417
Superman II,Movie,-0.9074938297271729,-0.4573836922645569,-0.022068224847316742,0.44907835125923157,0.055018119513988495,0.7704479694366455,0.3314637541770935,0.3788873255252838
The Long Riders,Movie,0.14338788390159607,0.08382035791873932,0.9776573777198792,0.16035693883895874,-0.6063271760940552,-0.4842311441898346,-0.6711185574531555,0.7658531665802002
Any Which Way You Can,Movie,0.0027447370812296867,-0.778609037399292,-0.025523172691464424,1.4494969844818115,0.4254857003688812,-0.45914214849472046,0.9518789649009705,1.199566125869751
The Gods Must Be Crazy,Movie,0.4086833894252777,1.0524218082427979,0.2759229838848114,0.9819942116737366,-0.015042338520288467,-0.9218838214874268,-0.2859439253807068,0.22712041437625885
Popeye,Movie,-0.41443610191345215,0.8392612338066101,-0.22323757410049438,1.326024055480957,-0.34111034870147705,0.20117102563381195,-0.9395878911018372,0.34255391359329224
Ordinary People,Movie,0.7842941284179688,0.5188579559326172,0.8743642568588257,0.5781602263450623,0.8547717332839966,0.6530562043190002,0.08092878758907318,0.09563186019659042
Dressed to Kill,Movie,-0.6418444514274597,0.544324517250061,-0.2036098837852478,0.4328959882259369,-0.9859986305236816,-1.1017431020736694,-0.6293274164199829,0.8510773181915283
Somewhere in Time,Movie,-0.5098171234130859,-0.6149176359176636,-1.0921635627746582,0.46734610199928284,0.014687149785459042,0.28007107973098755,-0.7121223211288452,-0.995750904083252
Fame,Movie,1.7015949487686157,1.0088865756988525,-0.20611780881881714,1.3719600439071655,-0.10823304951190948,-0.11739352345466614,0.41171401739120483,0.3219444453716278
9 to 5,Movie,0.405504435300827,0.8815727233886719,-0.1992238312959671,1.0686832666397095,-0.5541874766349792,-0.7032616138458252,1.0586546659469604,0.8952682614326477
The Fog,Movie,0.3336564898490906,0.4297981858253479,0.6465184688568115,0.7263585329055786,-1.5069762468338013,-0.08350097388029099,0.29241710901260376,0.107864148914814
Stir Crazy,Movie,0.19923068583011627,-0.3139339089393616,0.19302983582019806,1.3768622875213623,-0.037970587611198425,-0.04689503833651543,-1.9101990461349487,0.2697690427303314
Cruising,Movie,-0.24703902006149292,-0.9038166999816895,-0.532010018825531,-0.7880366444587708,0.19046571850776672,-0.2206224501132965,-0.04550255835056305,0.09331735223531723
Heaven's Gate,Movie,0.19908542931079865,-0.6086432933807373,1.2146008014678955,1.0004539489746094,-0.7880936861038208,0.16235727071762085,-0.06006781756877899,-0.142475888133049
The Final Countdown,Movie,-0.9011892676353455,-0.21539022028446198,-0.007595573086291552,-0.5189207196235657,0.024484805762767792,0.3045911192893982,0.904367983341217,-0.683674693107605
Xanadu,Movie,-0.6752181053161621,0.8173910975456238,-0.17484012246131897,0.9136123657226562,-0.6726334095001221,-0.15198157727718353,-1.0829737186431885,-0.10917378216981888
Urban Cowboy,Movie,0.7870310544967651,0.38121816515922546,-0.4757837653160095,0.6718422770500183,-1.0639400482177734,-0.3495869040489197,0.526170015335083,0.060065120458602905
